编号,索引,面积 (m²),周长 (m),紧凑度,中心X,中心Y
1,40,1847.20,216.55,0.495,107.89,37.84
2,41,854.03,117.41,0.778,180.27,82.83
3,42,107.57,60.26,0.372,176.72,55.87
4,43,202.19,69.95,0.519,102.86,83.21
5,44,240.39,73.26,0.563,103.20,65.38
6,45,238.49,121.59,0.203,122.83,124.62
7,46,706.05,140.65,0.449,241.09,41.06
8,47,976.58,224.46,0.244,201.36,1.77
9,48,113.68,46.25,0.668,251.87,6.29
10,49,165.62,87.76,0.270,208.36,56.07
11,50,334.43,106.96,0.367,142.24,106.70
12,51,266.08,88.46,0.427,167.80,128.21
13,52,66.11,44.84,0.413,188.41,119.09
14,53,234.37,112.62,0.232,171.05,112.53
15,54,151.30,88.96,0.240,205.97,96.59
16,55,29.71,26.82,0.519,249.71,61.57
17,56,406.46,130.90,0.298,247.35,77.59
18,57,72.78,47.75,0.401,183.30,134.15
19,58,201.98,92.08,0.299,213.47,118.00
20,59,92.83,54.68,0.390,221.46,135.94
21,60,317.25,138.40,0.208,258.79,137.05
22,61,222.82,86.68,0.373,127.71,64.02
23,62,118.41,51.62,0.558,198.16,128.50
24,66,654.39,162.22,0.313,36.19,5.07
25,67,605.03,146.37,0.355,113.23,6.38
26,68,211.11,64.02,0.647,76.29,12.16
27,69,151.26,63.15,0.477,147.21,15.54
28,70,1214.82,177.33,0.485,33.53,29.44
29,80,1678.88,247.81,0.344,208.81,28.46
30,81,225.36,69.45,0.587,96.75,100.81
31,82,232.50,70.26,0.592,115.11,108.27
32,89,118.32,52.74,0.535,158.14,95.14
33,95,249.92,80.07,0.490,230.35,114.70
34,96,406.54,132.53,0.291,251.43,106.81
