src,dst,open
0,7,0
0,16,0
0,18,0
0,74,1
0,95,1
1,8,0
1,14,1
1,17,0
1,51,0
1,74,1
2,5,0
2,10,0
2,92,1
3,11,0
3,67,1
3,92,1
3,94,1
4,11,0
4,57,0
4,94,1
5,9,0
5,10,0
5,12,0
5,13,0
5,91,1
6,15,0
6,64,0
6,67,1
7,95,0
8,17,0
8,18,0
8,74,1
9,12,0
9,15,0
9,91,1
10,13,0
10,67,1
10,92,1
11,90,1
12,13,0
12,15,0
12,67,1
13,67,1
14,51,0
14,63,0
14,65,0
14,95,1
15,67,1
16,74,1
17,18,0
17,65,0
17,95,1
18,74,1
18,95,1
19,43,0
19,83,1
20,73,1
20,76,1
21,73,1
22,76,1
22,95,1
23,43,0
23,68,0
23,69,1
23,95,1
24,52,0
24,83,1
25,83,1
25,100,1
26,87,1
27,85,0
27,86,1
27,99,1
28,86,1
28,99,1
29,44,0
29,96,1
30,35,0
30,53,0
31,70,1
31,96,1
31,97,1
32,68,1
32,77,1
32,80,1
32,81,1
32,98,1
33,53,0
33,68,1
33,77,1
33,98,1
34,53,0
34,77,1
35,67,1
35,69,1
35,95,1
36,84,1
36,85,1
36,86,1
36,89,1
37,56,0
37,67,1
37,71,1
38,78,1
38,79,1
38,84,1
38,89,1
39,87,1
39,99,1
39,100,1
40,41,0
40,87,1
42,59,0
42,78,1
42,80,1
43,68,1
43,76,1
43,81,1
43,83,1
44,72,1
44,96,1
44,97,1
45,87,1
45,100,1
46,47,0
46,73,1
46,82,1
46,83,1
47,73,1
48,73,1
48,82,1
48,83,1
49,78,1
50,79,1
50,80,1
50,85,1
50,89,1
51,63,0
51,74,1
52,81,1
52,83,1
52,99,1
52,100,1
53,67,1
53,70,1
53,71,1
53,88,1
54,78,1
54,84,1
55,72,1
56,70,1
56,71,1
56,96,1
57,90,1
57,94,1
58,85,1
58,99,1
59,79,1
59,80,1
60,77,1
60,78,1
60,80,1
61,67,1
61,94,0
62,72,1
62,77,1
62,97,1
63,67,1
63,74,1
63,93,1
63,95,1
64,66,0
64,67,1
65,95,1
66,67,1
66,91,1
66,93,1
67,71,1
67,88,1
67,92,1
67,93,1
67,94,1
67,95,1
68,69,1
68,81,1
68,98,1
69,95,1
70,71,1
70,96,1
72,97,1
73,95,1
74,75,1
74,93,1
75,95,1
77,97,1
77,98,1
78,79,1
78,80,1
78,84,1
79,80,1
79,89,1
80,81,1
82,83,1
83,100,1
84,89,1
85,86,1
85,89,1
85,99,1
87,100,1
90,92,1
91,92,1
91,93,1
92,94,1
99,100,1
