src,dst
0,7
0,16
0,18
0,74
0,95
1,8
1,14
1,17
1,51
1,74
2,5
2,10
2,92
3,11
3,67
3,92
3,94
4,11
4,57
4,94
5,9
5,10
5,12
5,13
5,91
6,15
6,64
6,67
7,95
8,17
8,18
8,74
9,12
9,15
9,91
10,13
10,67
10,92
11,90
12,13
12,15
12,67
13,67
14,51
14,63
14,65
14,95
15,67
16,74
17,18
17,65
17,95
18,74
18,95
19,43
19,83
20,73
20,76
21,73
22,76
22,95
23,43
23,68
23,69
23,95
24,52
24,83
25,83
25,100
26,87
27,85
27,86
27,99
28,86
28,99
29,44
29,96
30,35
30,53
31,70
31,96
31,97
32,68
32,77
32,80
32,81
32,98
33,53
33,68
33,77
33,98
34,53
34,77
35,67
35,69
35,95
36,84
36,85
36,86
36,89
37,56
37,67
37,71
38,78
38,79
38,84
38,89
39,87
39,99
39,100
40,41
40,87
42,59
42,78
42,80
43,68
43,76
43,81
43,83
44,72
44,96
44,97
45,87
45,100
46,47
46,73
46,82
46,83
47,73
48,73
48,82
48,83
49,78
50,79
50,80
50,85
50,89
51,63
51,74
52,81
52,83
52,99
52,100
53,67
53,70
53,71
53,88
54,78
54,84
55,72
56,70
56,71
56,96
57,90
57,94
58,85
58,99
59,79
59,80
60,77
60,78
60,80
61,67
61,94
62,72
62,77
62,97
63,67
63,74
63,93
63,95
64,66
64,67
65,95
66,67
66,91
66,93
67,71
67,88
67,92
67,93
67,94
67,95
68,69
68,81
68,98
69,95
70,71
70,96
72,97
73,95
74,75
74,93
75,95
77,97
77,98
78,79
78,80
78,84
79,80
79,89
80,81
82,83
83,100
84,89
85,86
85,89
85,99
87,100
90,92
91,92
91,93
92,94
99,100
